SN,SG,k
"[1, 2, 1, 2]","[[1, 64]]",4
"[0, 18, 1, 2, 1]","[[1, 64]]",5
"[18, 1, 2, 1, 2]","[[1, 64]]",5
"[0, 18, 1, 2, 1, 2]","[[1, 64]]",6
"[23, 28]","[[1, 67]]",2
"[28, 163]","[[1, 67]]",2
"[18, 6]","[[1, 67], [36, 31], [96, 6], [174, 51]]",2
"[1, 23, 28]","[[1, 67]]",3
"[23, 28, 163]","[[1, 67]]",3
"[28, 163, 0]","[[1, 67]]",3
"[163, 0, 18]","[[1, 67]]",3
"[0, 18, 6]","[[1, 67], [36, 31], [96, 6], [174, 51]]",3
"[18, 6, 0]","[[1, 67], [36, 31], [96, 6]]",3
"[2, 1, 23, 28]","[[1, 67]]",4
"[1, 23, 28, 163]","[[1, 67]]",4
"[23, 28, 163, 0]","[[1, 67]]",4
"[28, 163, 0, 18]","[[1, 67]]",4
"[163, 0, 18, 6]","[[1, 67]]",4
"[0, 18, 6, 0]","[[1, 67], [36, 31], [96, 6]]",4
"[2, 1, 23, 28, 163]","[[1, 67]]",5
"[1, 23, 28, 163, 0]","[[1, 67]]",5
"[23, 28, 163, 0, 18]","[[1, 67]]",5
"[28, 163, 0, 18, 6]","[[1, 67]]",5
"[163, 0, 18, 6, 0]","[[1, 67]]",5
"[2, 1, 23, 28, 163, 0]","[[1, 67]]",6
"[1, 23, 28, 163, 0, 18]","[[1, 67]]",6
"[23, 28, 163, 0, 18, 6]","[[1, 67]]",6
"[28, 163, 0, 18, 6, 0]","[[1, 67]]",6
"[2, 1, 23, 28, 163, 0, 18]","[[1, 67]]",7
"[1, 23, 28, 163, 0, 18, 6]","[[1, 67]]",7
"[23, 28, 163, 0, 18, 6, 0]","[[1, 67]]",7
"[2, 1, 23, 28, 163, 0, 18, 6]","[[1, 67]]",8
"[1, 23, 28, 163, 0, 18, 6, 0]","[[1, 67]]",8
"[2, 1, 23, 28, 163, 0, 18, 6, 0]","[[1, 67]]",9
"[0, 29]","[[1, 69]]",2
"[29, 30]","[[1, 69]]",2
"[30, 20]","[[1, 69]]",2
"[1, 0, 29]","[[1, 69]]",3
"[0, 29, 30]","[[1, 69]]",3
"[29, 30, 20]","[[1, 69]]",3
"[30, 20, 1]","[[1, 69]]",3
"[2, 1, 0, 29]","[[1, 69]]",4
"[1, 0, 29, 30]","[[1, 69]]",4
"[0, 29, 30, 20]","[[1, 69]]",4
"[29, 30, 20, 1]","[[1, 69]]",4
"[30, 20, 1, 2]","[[1, 69]]",4
"[2, 1, 0, 29, 30]","[[1, 69]]",5
"[1, 0, 29, 30, 20]","[[1, 69]]",5
"[0, 29, 30, 20, 1]","[[1, 69]]",5
"[29, 30, 20, 1, 2]","[[1, 69]]",5
"[2, 1, 0, 29, 30, 20]","[[1, 69]]",6
"[1, 0, 29, 30, 20, 1]","[[1, 69]]",6
"[0, 29, 30, 20, 1, 2]","[[1, 69]]",6
"[2, 1, 0, 29, 30, 20, 1]","[[1, 69]]",7
"[1, 0, 29, 30, 20, 1, 2]","[[1, 69]]",7
"[2, 1, 0, 29, 30, 20, 1, 2]","[[1, 69]]",8
"[2, 19]","[[1, 70]]",2
"[19, 0]","[[1, 70]]",2
"[2, 19, 0]","[[1, 70]]",3
"[2, 217]","[[1, 71]]",2
"[2, 217, 0]","[[1, 71]]",3
"[0, 31]","[[5, 1]]",2
"[31, 32]","[[5, 1]]",2
"[32, 0]","[[5, 1], [5, 29]]",2
"[3, 0, 31]","[[5, 1]]",3
"[0, 31, 32]","[[5, 1]]",3
"[31, 32, 0]","[[5, 1]]",3
"[3, 0, 31, 32]","[[5, 1]]",4
"[0, 31, 32, 0]","[[5, 1]]",4
"[3, 0, 31, 32, 0]","[[5, 1]]",5
"[3, 33]","[[5, 2], [5, 14], [5, 27]]",2
"[0, 3, 33]","[[5, 2], [5, 14], [5, 27]]",3
"[33, 3]","[[5, 3], [5, 6], [5, 27], [5, 71]]",2
"[33, 3, 0]","[[5, 3], [5, 6], [5, 27], [5, 71]]",3
"[0, 34]","[[5, 6], [38, 31], [96, 1], [96, 12], [96, 18], [96, 20], [96, 35], [96, 49], [96, 52], [96, 53], [96, 55], [96, 59], [96, 63], [96, 64], [96, 70], [96, 82], [96, 89], [96, 90], [96, 91], [96, 93], [96, 100], [96, 106], [96, 107], [96, 108], [96, 111], [179, 25], [179, 32], [179, 45], [179, 67], [179, 71]]",2
"[34, 0]","[[5, 6], [5, 71], [5, 72], [5, 81], [96, 1], [96, 12], [96, 21], [96, 26], [96, 32], [96, 40], [96, 42], [96, 44], [96, 48], [96, 49], [96, 54], [96, 60], [96, 69], [96, 78], [96, 92], [96, 109], [96, 112], [179, 11], [179, 25], [179, 28], [179, 32], [179, 49], [179, 61]]",2
"[3, 0, 34]","[[5, 6], [96, 12]]",3
